"","face","suit","value","game","win","start"
"1","3","S",3,1,1,1
"2","5","C",5,1,1,1
"3","K","D",10,1,1,0
"4","3","C",3,1,1,0
"5","10","S",10,2,0,1
"6","Q","S",10,2,0,1
"7","6","H",6,2,0,0
"8","6","H",6,3,0,1
"9","K","S",10,3,0,1
"10","7","S",7,3,0,0
"11","Q","C",10,4,0,1
"12","Q","D",10,4,0,1
"13","6","S",6,4,0,0
"14","2","H",2,5,0,1
"15","7","S",7,5,0,1
"16","J","C",10,5,0,0
"17","K","C",10,5,0,0
"18","9","D",9,6,0,1
"19","6","H",6,6,0,1
"20","8","H",8,6,0,0
"21","6","D",6,7,0,1
"22","7","H",7,7,0,1
"23","6","H",6,7,0,0
"24","7","C",7,7,0,0
"25","8","H",8,8,1,1
"26","A","H",1,8,1,1
"27","6","C",6,8,1,0
"28","6","H",6,8,1,0
"29","J","H",10,9,0,1
"30","K","D",10,9,0,1
"31","5","D",5,9,0,0
"32","9","C",9,10,0,1
"33","7","C",7,10,0,1
"34","Q","S",10,10,0,0
"35","8","S",8,11,0,1
"36","9","D",9,11,0,1
"37","5","S",5,11,0,0
"38","2","H",2,12,0,1
"39","4","D",4,12,0,1
"40","A","D",1,12,0,0
"41","Q","C",10,12,0,0
"42","3","H",3,12,0,0
"43","2","D",2,12,0,0
"44","5","H",5,13,0,1
"45","J","H",10,13,0,1
"46","4","C",4,13,0,0
"47","A","C",1,13,0,0
"48","K","D",10,13,0,0
"49","Q","H",10,14,1,1
"50","A","D",1,14,1,1
"51","2","S",2,15,0,1
"52","K","C",10,15,0,1
"53","6","C",6,15,0,0
"54","7","D",7,15,0,0
"55","8","D",8,16,0,1
"56","K","S",10,16,0,1
"57","9","D",9,16,0,0
"58","5","H",5,17,0,1
"59","9","S",9,17,0,1
"60","4","D",4,17,0,0
"61","8","C",8,17,0,0
"62","7","S",7,18,0,1
"63","A","H",1,18,0,1
"64","J","H",10,18,0,0
"65","A","C",1,18,0,0
"66","6","S",6,18,0,0
"67","7","C",7,19,0,1
"68","K","H",10,19,0,1
"69","J","H",10,19,0,0
"70","Q","H",10,20,0,1
"71","7","H",7,20,0,1
"72","10","S",10,20,0,0
"73","10","D",10,21,0,1
"74","3","C",3,21,0,1
"75","7","C",7,21,0,0
"76","J","S",10,21,0,0
"77","K","H",10,22,0,1
"78","K","C",10,22,0,1
"79","6","S",6,22,0,0
"80","J","D",10,23,0,1
"81","9","S",9,23,0,1
"82","8","H",8,23,0,0
"83","4","H",4,24,0,1
"84","7","H",7,24,0,1
"85","5","S",5,24,0,0
"86","A","D",1,24,0,0
"87","10","D",10,24,0,0
"88","10","S",10,25,1,1
"89","A","S",1,25,1,1
"90","2","D",2,26,0,1
"91","4","C",4,26,0,1
"92","6","H",6,26,0,0
"93","7","H",7,26,0,0
"94","8","S",8,26,0,0
"95","2","S",2,27,0,1
"96","Q","D",10,27,0,1
"97","8","C",8,27,0,0
"98","3","S",3,27,0,0
"99","9","C",9,28,0,1
"100","J","D",10,28,0,1
"101","7","D",7,28,0,0
"102","4","D",4,29,0,1
"103","J","D",10,29,0,1
"104","3","H",3,29,0,0
"105","2","C",2,29,0,0
"106","K","C",10,29,0,0
"107","9","H",9,30,0,1
"108","K","D",10,30,0,1
"109","4","H",4,30,0,0
"110","6","D",6,31,0,1
"111","7","C",7,31,0,1
"112","K","S",10,31,0,0
"113","7","C",7,32,0,1
"114","3","H",3,32,0,1
"115","6","S",6,32,0,0
"116","10","H",10,32,0,0
"117","J","S",10,33,1,1
"118","8","H",8,33,1,1
"119","3","S",3,33,1,0
"120","10","S",10,34,1,1
"121","A","S",1,34,1,1
"122","K","S",10,35,0,1
"123","7","H",7,35,0,1
"124","5","D",5,35,0,0
"125","K","D",10,36,0,1
"126","3","S",3,36,0,1
"127","6","C",6,36,0,0
"128","10","C",10,36,0,0
"129","10","H",10,37,0,1
"130","9","H",9,37,0,1
"131","8","C",8,37,0,0
"132","5","S",5,38,0,1
"133","4","D",4,38,0,1
"134","9","S",9,38,0,0
"135","9","D",9,38,0,0
"136","9","C",9,39,0,1
"137","3","S",3,39,0,1
"138","Q","C",10,39,0,0
"139","6","C",6,40,1,1
"140","Q","S",10,40,1,1
"141","5","H",5,40,1,0
"142","5","C",5,41,0,1
"143","2","S",2,41,0,1
"144","4","D",4,41,0,0
"145","5","D",5,41,0,0
"146","3","H",3,41,0,0
"147","8","H",8,41,0,0
"148","Q","H",10,42,0,1
"149","Q","S",10,42,0,1
"150","K","H",10,42,0,0
"151","8","C",8,43,0,1
"152","5","S",5,43,0,1
"153","7","C",7,43,0,0
"154","J","S",10,43,0,0
"155","7","H",7,44,0,1
"156","10","S",10,44,0,1
"157","K","S",10,44,0,0
"158","8","C",8,45,1,1
"159","K","C",10,45,1,1
"160","3","D",3,45,1,0
"161","9","C",9,46,1,1
"162","2","D",2,46,1,1
"163","10","C",10,46,1,0
"164","3","S",3,47,0,1
"165","4","D",4,47,0,1
"166","9","D",9,47,0,0
"167","4","C",4,47,0,0
"168","Q","D",10,47,0,0
"169","6","H",6,48,0,1
"170","4","S",4,48,0,1
"171","J","C",10,48,0,0
"172","2","S",2,48,0,0
"173","A","D",1,49,0,1
"174","8","C",8,49,0,1
"175","4","C",4,49,0,0
"176","7","C",7,49,0,0
"177","4","S",4,49,0,0
"178","2","H",2,50,0,1
"179","8","S",8,50,0,1
"180","5","S",5,50,0,0
"181","9","D",9,50,0,0
"182","4","C",4,51,0,1
"183","10","D",10,51,0,1
"184","2","H",2,51,0,0
"185","4","S",4,51,0,0
